;active;udf_depotId;Customer No;Name;Street name;Door number;areaDescription;Zip code;City;x;y
;True;T100;13416;Min Købmand Hjortshøj;Hjortshøj Stationsvej;8;;8530;Hjortshøj;10.267517;56.244521
;True;T100;13422;Min Købmand Ulbjerg;Borgergade;1;Ulbjerg;8832;Skals;9.344771;56.62758
;True;T100;13424;Min Købmand Asp;Langhøjvej;10;Asp;7600;Struer;8.51376;56.432745
;True;T100;13425;Min Købmand Farstrup;Ny Møllevej;121;Farstrup;9240;Nibe;9.461982;56.982953
;True;T100;13449;Bjerregaard Købmandshandel I/S;Kirksvej 2;;;6960;Hvide Sande;8.181683;55.864451
;True;T100;13451;Spar Valsgård;Hovedgaden;15;VALSGÅRD;9500;Hobro;9.855611;56.674086
;True;T100;13453;Min Købmand Risskov;Nordre Strandvej;45;;8240;Risskov;10.24733;56.19503
;True;T100;13465;Spar;Vestergade 20;;;9620;Aalestrup;9.4738;56.693565
;True;T100;13467;Min Købmand  Nr. Søby;Viborgvej;273;Nr. Søby;7840;Højslev;9.12549;56.54491
;True;T100;13477;Letkøb Amtoft;Gårdbækvej;2;Amtoft;7742;Vesløs;8.941467;57.00597
;True;T100;13486;Min Købmand Stadil;Skelmosevej;89;Stadil;6980;Tim;8.213305;56.19879
;True;T100;13496;Min Købmand Kjellerup;Søndergade;116;;8620;Kjellerup;9.43457;56.27932
;True;T100;13501;Min Købmand Harre;Sallingsundvej;122;Roslev;7870;Roslev;8.924336;56.713786
;True;T100;13520;Min Købmand Astrup;Højevej;25;Astrup;6900;Skjern;8.600828;56.005545
;True;T100;13555;Fakta Markedsgade Randers;Markedsgade;10 A;;8900;Randers C;10.034755;56.46406
;True;T100;13556;Fakta Svenstrup;Hobrovej;751;;9230;Svenstrup J;9.855405;56.97349
;True;T100;13570;LUKKET Min Købmand Langholt;Horsensvej;22;LANGHOLT;9310;Vodskov;10.085916;57.102391
;True;T100;13595;Superbrugsen Vildbjerg;Bredgade;35;;7480;Vildbjerg;8.76825;56.200585
;True;T100;13635;LUKKET Spar Biersted;Stationsvej;27;Biersted;9440;Åbybro;9.806826;57.146772
;True;T100;13636;Letkøb Ramme;Strøggade;53;Ramme;7620;Lemvig;8.207135;56.49094
;True;T100;13743;Spar Borbjerg;Købmandsgade;1;Borbjerg;7500;Holstebro;8.618874;56.360251
;True;T100;13744;Letkøb - Hauge Minimarked;Haugevej;33;HAUGE;8620;Kjellerup;9.37596;56.258894
;True;T100;13779;Letkøb Aarhus C;Sønderborggade;9;;8000;Aarhus C;10.181495;56.141083
;True;T100;13792;Letkøb Serrislev;Syrenvej;15;Serritslev;9700;Brønderslev;9.97539;57.31373
;True;T100;13804;Letkøb Silkeborg;Århusvej;16;;8600;Silkeborg;9.56393;56.16955
;True;T100;13807;Min Købmand Gjessø;Rustrupvej;47;;8600;Silkeborg;9.494445;56.116017
;True;T100;13850;Spar Bækmarksbro;Brogade;78;;7660;Bækmarksbro;8.3065;56.42008
;True;T100;13920;Spar Kås;Brogårdsgade;3;Kaas;9490;Pandrup;9.674545;57.195865
;True;T100;13933;Norway Seafood;Nordre Kajgade;7;;8500;Grenå;10.923519;56.410914
;True;T100;13956;Netto Hasseris;Skelagervej;301;;9000;Ålborg;9.87415;57.02339
;True;T100;13978;Fakta Klarup;Klarupvej;39;;9270;Klarup;10.049335;57.014
;True;T100;13979;Fakta Vejgaard;Odinsgade;1;;9000;Aalborg Sø;9.951325;57.040635
;True;T100;14303;Netto Vodskov;Vodskovvej;31-33;;9310;Vodskov;10.028925;57.104412
;True;T100;14363;Rema 1000 Gjellerup;Klokkekildevej;23;GJELLERUP;7400;Herning;9.043915;56.146615
;True;T100;14364;Rema 1000 Lind;Lind Hovedgade;2;;7400;Herning;8.978985;56.10743
;True;T100;14365;Rema 1000 Herning;Viborgvej;97;;7400;Herning;8.993274;56.14485
;True;T100;14366;LUKKET Rema 1000 Ikast;Jens Holdgårds Vej;58;;7430;Ikast;9.140305;56.142675
;True;T100;14367;Rema 1000 Karup;Herningvej;4;;7470;Karup J;9.164613;56.308568
;True;T100;14368;Rema 1000 Avlum;Kirkegade;7-11;;7490;Avlum;8.797575;56.266465
;True;T100;14369;Rema 1000 Nørreport Holstebro;Nørregade;58;NØRREPORTCENTERET;7500;Holstebro;8.61907;56.362215
;True;T100;14370;Rema 1000 Struer;Vestergade;11;;7600;Struer;8.590896;56.491913
;True;T100;14371;Rema 1000 Lemvig;Enghavevej;12;;7620;Lemvig;8.312855;56.548405
;True;T100;14377;Rema 1000 Thisted;Rosenkrantzgade;3;;7700;Thisted;8.68713;56.955375
;True;T100;14378;Rema 1000 Hurup - 785;Auktionsvej;4;;7760;Hurup Thy;8.416867;56.752133
;True;T100;14379;Rema 1000 Holstebrovej Skive;Holstebrovej;70;;7800;Skive;9.00547;56.568945
;True;T100;14380;Rema 1000 Nørregade Skive;Nørregade;40-42;;7800;Skive;9.02817;56.569499
;True;T100;14381;Rema 1000 Vinderup;Søndergade;58;;7830;Vinderup;8.777045;56.4781
;True;T100;14382;Rema 1000 Nykøbing Mors;Vestergade;8;;7900;Nykøbing M;8.855965;56.794357
;True;T100;14383;Rema 1000 Trøjborg;Aldersrovej;33;;8200;Aarhus N;10.210815;56.17316
;True;T100;14384;Rema 1000 Egå;Muslingevej;10;;8250;Egå;10.279425;56.211721
;True;T100;14385;Rema 1000 Stautrup;Ormslevvej;230-234;;8260;Viby J;10.119965;56.128495
;True;T100;14386;Rema 1000 Hammel;Anbækvej;1;;8450;Hammel;9.862404;56.257455
;True;T100;14387;Rema 1000 Grenå;Havnevej;128;;8500;Grenå;10.90775;56.411648
;True;T100;14388;Rema 1000 Silkeborg;Balle Torv;1;BALLE;8600;Silkeborg;9.52409;56.18895
;True;T100;14389;Rema 1000 Sejs;Julsøvej;89;Sejs;8600;Silkeborg;9.606081;56.13976
;True;T100;14390;Rema 1000 Kjellerup;Torvet;11;;8620;Kjellerup;9.42958;56.288025
;True;T100;14392;Rema 1000 Dagmar. Skanderborg;Dagmar Centret 4;;;8660;Skanderborg;9.930667;56.033451
;True;T100;14393;Rema 1000 Vrold. Skanderborg;Vroldvej;31;;8660;Skanderborg;9.91412;56.03931
;True;T100;14394;Rema 1000 Koldingvej Viborg;Koldingvej;99;;8800;Viborg;9.388334;56.43057
;True;T100;14396;Rema 1000 Farvervej Viborg;Farvervej;2;;8800;Viborg;9.398475;56.460335
;True;T100;14397;Rema 1000 Langå;Markedsgade;1;;8870;Langå;9.89426;56.390515
;True;T100;14405;Rema 1000 Vorup;Pramvej;4;;8900;Randers;10.04176;56.45074
;True;T100;14407;Rema 1000 Jernbanegade Randers;Jernbanegade;6 b;;8900;Randers C;10.029573;56.460328
;True;T100;14413;Rema 1000 Hornbæk;Kjølvejen;2;HORNBÆK;8920;Randers Nv;9.972579;56.463001
;True;T100;14416;Rema 1000 Dronningb.- 760;Tjærebyvej;2-4;;8930;Randers Nø;10.068473;56.472495
;True;T100;14417;Rema 1000 Vejgård;Vejgård Bymidte;8;Vejgård Centret;9000;Ålborg;9.949185;57.042085
;True;T100;14418;Rema 1000 Gug;Gugvej;211;;9210;Ålborg Sø;9.92632;57.00912
;True;T100;14419;Rema 1000 Svenstrup;Godthåbsvej;15-17;;9230;Svenstrup;9.8518;56.972355
;True;T100;14420;Rema 1000 Storvorde;Rødhøjsvej;4;;9280;Storvorde;10.100915;56.999965
;True;T100;14421;Rema 1000 Nørresundby;Vestergade;22;;9400;Nørresundby;9.919585;57.059534
;True;T100;14426;Rema 1000 Vadum;Ellehammersvej;84;;9430;Vadum;9.86221;57.120935
;True;T100;14428;Fakta Industrivej Ikast;Industrivej;1;;7430;Ikast;9.16459;56.131305
;True;T100;14459;Rema 1000 Brovst;Østergade;24;;9460;Brovst;9.52647;57.097355
;True;T100;14460;Rema 1000 Mariager;Gl. Hobrovej;2;;9550;Mariager;9.986765;56.59745
;True;T100;14461;Rema 1000 Års;Søndergade;36;;9600;Års;9.51949;56.80244
;True;T100;14462;Rema 1000 Ålestrup;Vestergade;55;;9620;Ålestrup;9.487095;56.693755
;True;T100;14463;Rema 1000 Farsø - 712;T.H.Eriksensvej;22A;;9640;Farsø;9.34118;56.772531
;True;T100;14464;Rema 1000 Brønderslev;Sdr. Omfartsvej;5;;9700;Brønderslev;9.924095;57.274525
;True;T100;14465;Rema 1000 Trold. Hjørring;Trollhättanvej;2;;9800;Hjørring;9.973145;57.466685
;True;T100;14466;Rema 1000 Odinsvej Hjørring;Odinsvej;2;;9800;Hjørring;9.994495;57.447337
;True;T100;14476;Rema 1000 Gærumvej Frederikshavn;Gærumvej;36;;9900;Frederikshavn;10.51361;57.42733
;True;T100;14525;Fakta Frugtparken Skive;Frugtparken;3;;7800;Skive;9.027375;56.585125
;True;T100;14535;Fakta J.Baggensensvej Århus;Jens Baggesensvej;7;;8210;Aarhus N;10.186255;56.165865
;True;T100;14536;LUKKET Fakta Mårslet;Hørretvej;16;MÅRSLET;8320;Mårslet;10.163926;56.06776
;True;T100;14543;Tulip Food Company;Tulipvej 3 Sdr. Borup;;;8940;Randers SV;10.061985;56.411676
;True;T100;14554;Fakta Vildbjerg;Jernbanealle;7;;7480;Vildbjerg;8.768315;56.19831
;True;T100;14559;BB. Kantineserv.  AB mejeri;Gørrilds Alle;72;;8920;Randers NV;9.99676;56.478125
;True;T100;14571;Spar Hald;Ørslev Klostervej;107;Hald;7840;Højslev;9.197249;56.596608
;True;T100;14586;Letkøb Vrensted;Bådstedhedevej;8;;9480;Løkken;9.775314;57.337825
;True;T100;14587;Vrist Minimarked - Letkøb;Strandvejen;51;;7673;Harboøre;8.153121;56.603832
;True;T100;14602;Netto Århus V;Bronzealdervej;2;;8210;Aarhus V;10.136285;56.17286
;True;T100;14608;Spar Fårup;Butikstorvet;3;;8990;Fårup;9.857386;56.545444
;True;T100;14621;Fakta Rådhus Centret Sæby;Sophus Falcks Vej;1 C;;9300;Sæby;10.504757;57.331831
;True;T100;14631;Netto Hjørring;Bispensgade;87;;9800;Hjørring;9.9956;57.448825
;True;T100;14657;Catering Engros  A/S;Nørremarken 2, Skovlund;;;6823;Ansager;8.703125;55.74112
;True;T100;14659;LUKKET Min Købmand Harboøre;Kirkegade;1;;7673;Harboøre;8.183545;56.620642
;True;T100;14666;Netto Randers;Marsvej;35 B;;8960;Randers Sø;10.058153;56.427101
;True;T100;14668;HCH Gruppen A/S;PRIORSVEJ;31;;8600;Silkeborg;9.56827;56.204355
;True;T100;14700;Kantinen Arinco Videbæk;Mælkevejen;4;;6920;Videbæk;8.630114;56.084752
;True;T100;14722;Arla Foods AMBA;Sønderhøj;14;;8260;Viby;10.157532;56.119802
;True;T100;14730;Arla Foods Hjørring Mejeri;Skanderborgvej 277;;;8260;Viby;10.174843;56.136045
;True;T100;14735;LUKKET AKAFA AMBA;SVENSTRUP SKOLEVEJ 25;;;9230;SVENSTRUP;9.845155;56.974061
;True;T100;14815;Fakta Lemvig;Ågade;10;;7620;Lemvig;8.310564;56.550599
;True;T100;14830;Netto Hammel;Dalvej;12-14;;8450;Hammel;9.861555;56.257535
;True;T100;14847;Hørkram Foodservice A/S;Torshøjvej;59;Kolt;8362;Hørning;10.048172;56.108937
;True;T100;14855;MENY Hadsten;Nørregade;2;;8370;Hadsten;10.04726;56.328136
;True;T100;14880;Restaurant Karoline Amalie;Uglesøvej;1;;8600;Silkeborg;9.560407;56.1404
;True;T100;14883;LUKKET Euro Spar Aalborg Ø;Saltumvej;3;;9220;Aalborg Øst;10.008865;57.035135
;True;T100;14890;Bilka Viborg;Holstebrovej;79;;8800;Viborg;9.36688;56.446425
;True;T100;14907;Fakta Vester Hassing;Springvandspladsen;5;VESTER HASSING;9310;Vodskov;10.129253;57.066942
;True;T100;14921;Rema 1000 Vejlby Risskov;Smedegade;12;Vejlby Riis;8240;Risskov;10.216762;56.196175
;True;T100;14923;Fakta Gug;Fridtjof Nansensvej;2A;GUG;9210;Ålborg Sø;9.93954;57.023447
;True;T100;14943;HCH Gruppen A/S;Priorsvej;31;;8600;Silkeborg;9.56827;56.204355
;True;T100;15011;AB Catering Aalborg A/S;Kystvejen;80;;9400;Nørresundby;9.98598;57.087625
;True;T100;15013;LUKKET AB Catering Nørresundby;Kystvejen 80;;;9400;Nørresundby;9.98598;57.087625
;True;T100;1509;Føtex Frederiks Alle;Frederiksalle;22-24;;8000;Århus C;10.199681;56.150791
;True;T100;15180;Spar Ans A/S;Søndermarksgade;10;;8643;Ans By;9.59424;56.306235
;True;T100;15196;Rema 1000 Hornslet;Dalgårdsparken;4;ROSENHOLM;8543;Hornslet;10.31494;56.306531
;True;T100;15225;Min Købmand Nørager;Munkhusevej;7;Nørager;8961;Allingåbro;10.50512;56.477225
;True;T100;15253;Min Købmand Rostrup;Lundgaardsvej;2;Rostrup;9510;Arden;9.932351;56.731158
;True;T100;15262;Rema 1000 Stoholm;Vestergade;30;;7850;Stoholm;9.146793;56.485905
;True;T100;15361;Netto Thisted;Sydhavnsvej;1;;7700;Thisted;8.69248;56.95215
;True;T100;15371;Fakta Øster Vrå;Bredgade;5;;9750;Øster Vrå;10.237261;57.341
;True;T100;15382;Coop Ålborg;Hobrovej;461;;9200;Ålborg Sv.;9.880366;57.003837
;True;T100;15414;Fakta Galten;Søndergade;49;;8464;Galten;9.90169;56.14904
;True;T100;15423;LokalBrugsen Nykøbing Mors;Fåruphusevej;1;;7900;Nykøbing M;8.8389;56.77544
;True;T100;15521;Fakta Malling;Stationspladsen;4;MALLING;8340;Malling;10.191455;56.038136
;True;T100;15531;Rema 1000 Nørreland Holstebro;Nørreland Cent.Døesv.;17;;7500;Holstebro;8.616952;56.360714
;True;T100;15540;Min Købmand Flauenskjold;Ålborgvej;597;Flauenskjold;9330;Dronninglund;10.284513;57.24927
;True;T100;15544;Fakta Sjællandsgade Ålborg;Sjællandsgade;16-22;;9000;Aalborg;9.936355;57.04033
;True;T100;15553;Rema 1000 Sæby;Sophus Falcks Vej;2;;9300;Sæby;10.504757;57.331831
;True;T100;15554;Min Købmand Tvis;Hovedgaden;8;Tvis;7500;Holstebro;8.71105;56.320345
;True;T100;15594;A.J. Skjern  i  Randers;Frederiksbergvej;9;Østerbjerregrav;8920;Randers Nv;9.909024;56.483817
;True;T100;15833;Min Købmand Ravnkilde;Bygaden;8;RAVNKILDE;9610;Nørager;9.75337;56.755235
;True;T100;15841;Rema 1000-843 Hobro;Mariagervej;3;;9500;Hobro;9.80108;56.63388
;True;T100;15842;Rema 1000 Højbjerg;Oddervej;176;;8270;Højbjerg;10.206866;56.104636
;True;T100;15847;CNO Foodservice;Skanderborgvej 277;;;8260;Viby J;10.174843;56.136045
;True;T100;15863;Letkøb Vittrup;Løkkensvej;821;Vittrup;9480;Løkken;9.783225;57.39471
;True;T100;15873;Jesperhus - Letkøb;Legindvej;30;;7900;Nykøbing Mors;8.81429;56.764222
;True;T100;15898;Letkøb Thise;Sundsørevej;91;Thise;7870;Roslev;9.126823;56.703759
;True;T100;15918;Fakta Århus Norges Allé;Norges Allé;1-5;;8200;Aarhus N;10.200115;56.17695
;True;T100;15931;LUKKET Min Købmand Struer;Ådalen;1;;7600;Struer;8.591585;56.486118
;True;T100;15961;Fakta Hornslet;Tingvej;6;;8543;Hornslet;10.31755;56.316665
;True;T100;15965;Letkøb  Brabrand;Hougårdsvej;66;;8220;Brabrand;10.09126;56.150215
;True;T100;15966;Rema 1000 Hjørringvej Frederkshavn;Hjørringvej;33;;9900;Frederikshavn;10.521515;57.447827
;True;T100;15974;Dagli' Brugsen Engesvang;Jernbanegade;4;;7442;Engesvang;9.349665;56.167477
;True;T100;15976;FDF Julsølejr 2006;Hedelundsvej 5, Gl. Rye;;;8680;Ry;9.69144;56.069275
;True;T100;15978;Min Købmand Søderholm;Nibevej;518;Sønderholm;9240;Nibe;9.74144;57.00169
;True;T100;16173;Premier Is Kolding;Birkedam 11, Port 22-23;;;6000;Kolding;9.44019;55.513936
;True;T100;16178;Fakta Ålborg Ø;Mistrals Plads;1;;9220;Aalborg Ø;9.968615;57.013215
;True;T100;16182;Rema 1000 Hasseris;Hasseris Bymidte;4;HASSERIS;9000;Ålborg;9.882856;57.036587
;True;T100;16651;Føtex Ikast;Rådhusstrædet;2;;7430;Ikast;9.158415;56.138855
;True;T100;16670;Fakta Bøsbrovej Randers;Bøsbrovej;22;;8940;Randers Sv;10.041441;56.449843
;True;T100;16671;Rema 1000 Skive;Brårupvej;58;;7800;Skive;9.03437;56.55356
;True;T100;16678;Rema 1000 Tranbjerg;Kirketorvet;1;;8310;Tranbjerg;10.136936;56.090686
;True;T100;16681;Rema 1000 Snejbjerg;Snejbjerg Hovedgade;38;;7400;Herning;8.896782;56.132134
;True;T100;16682;Rema 1000 Helsted;Oust Møllevej;51;HELSTED;8920;Randers Nv;9.998445;56.47979
;True;T100;16737;Netto Kjellerup;Parallelvej;2;;8620;Kjellerup;9.415895;56.28602
;True;T100;16759;Netto Vesteralle Ålborg;Vestre Allè;3;;9000;Ålborg;9.907621;57.033544
;True;T100;16785;SPAR ASAA;Sæbyvej;3;;9340;Asaa;10.404542;57.148578
;True;T100;16788;Nørreskov Grill Silkeborg;Nørreskov Bakke;21;;8600;Silkeborg;9.581774;56.191072
;True;T100;16790;Letkøb Barmer;Kirkevej;2;BARMER;9240;Nibe;9.540017;56.979916
;True;T100;17049;Fakta Hadsund;Jernbanegade;2;;9560;Hadsund;10.119876;56.718142
;True;T100;17076;Netto Holstebro;Banetoften;2-4;;7500;Holstebro;8.594782;56.363875
;True;T100;17079;Letkøb Lagunen Hals;Lagunen;2;HOU;9370;Hals;10.357835;57.04038
;True;T100;18738;Brugsen Sandavagur;Sandavagur;2;;0360;Sandavagur;10.070303;56.099472
;True;T100;18827;Min Købmand Vegger;Aagade;32;Vegger;9240;Nibe;9.569877;56.88629
;True;T100;18841;Letkøb Højbjerg;Pottemagertoften;2;;8270;Højbjerg;10.167999;56.105124
;True;T100;18846;Grindsted Skole;Uggerhalnevej;4;Grindsted;9310;Vodskov;10.04354;57.1496
;True;T100;18849;Ørebroskolen;Ørebrovej;128;Fjerritslev;9690;Fjerritslev;9.235694;57.053934
;True;T100;18850;Arla Foods Mejeriforeningen (extern;Sønderhøj;46;;8260;Viby J;10.159351;56.120469
;True;T100;18852;Dybvad Skole;Ørnevej;6;Dybvad;9352;Dybvad;10.355655;57.275915
;True;T100;18853;2236 Aalbæk Skole;Engvej;8;Aalbæk;9982;Ålbæk;10.411545;57.594445
;True;T100;18854;Tranum Skole;Uglevej;6;Tranum;9460;Brovst;9.463611;57.132988
;True;T100;18858;Hou Skole;Nørregade 9, Hou;;Hou;9370;Hals;10.29648;57.014925
;True;T100;18859;Skovsgårdskolen;Hovedgaden;71;Brovst;9460;Brovst;9.487684;57.08146
;True;T100;18861;Ulsted Skole;Jyllensgade 29, Ulsted;;Ulsted;9370;Hals;10.258745;57.07449
;True;T100;18862;Jetsmark Centralskole;Skolegade 2, Kås;;Kås;9490;Pandrup;9.669404;57.199794
;True;T100;18865;Fjerritslev Skole;Borups Alle;8;;9690;Fjerritslev;9.264035;57.08917
;True;T100;18866;Brovst Skole;Skolevej;5;;9460;Brovst;9.529167;57.096588
;True;T100;18867;Hjørring Private Realsk.;Vendiavej;7;;9800;Hjørring;9.997011;57.456459
;True;T100;18868;Skolegades Skole;Skolegade;36;;9700;Brønderslev;9.951685;57.26827
;True;T100;18869;Lørslev Friskole;Ugiltvej;881;Lørslev;9800;Hjørring;10.083334;57.428265
;True;T100;18870;Trekronerskolen;Skolevænget;3;;9690;Fjerritslev;9.36986;57.049035
;True;T100;18871;Toftegårdsskolen;Samsøgade;40;;9740;Jerslev J;10.09381;57.282525
;True;T100;18872;Tolstrup-Stenum Friskole;Tømmerbyvej;2;;9700;Brønderslev;9.868815;57.318635
;True;T100;18873;Løkken Skole;Studievej;10;;9480;Løkken;9.71759;57.372615
;True;T100;18874;Vrå Skole;Skolegade;6;;9760;Vrå;9.938534;57.354698
;True;T100;18875;Stensnæsskolen;Østkystvejen 314, Voerså;;Voerså;9300;Sæby;10.511943;57.253439
