Violation;status;TransportationDate;order No;Wave;order_status_name;order_kind;ReasonCode;PickUp;Customer;SAP Route;Route;Shipment;Customer No;udf_sequencenumber;Customer Name;Zipcode;City;TW From;TW Till;ETA;PromisedTime;RCE;Distance;udf_DeleteFromDB
;;09-11;930262;1;PlanningComplete;Delivery;1;T100;Hobro Mejericenter;DKH090;DKH090;12083603;791;2;Aldi Haverslev K.S.;9610;Nørager;02:30;04:00;02:34;03:30;20.40;20.63;
;;09-11;930195;1;PlanningComplete;Delivery;0;T100;Hobro Mejericenter;DKH040;DKH040;12083608;72820;1;BC Catering Svenstrup;9230;Svenstrup J;00:01;03:15;02:35;02:45;12.14;43.55;
;;09-11;929696;1;PlanningComplete;Delivery;0;T100;Hobro Mejericenter;DKH010;DKH010;12083569;24434;17;Sennels Skole;7700;Thisted;00:00;12:00;02:39;23:00;0.52;101.29;
;;09-11;930189;1;PlanningComplete;Delivery;0;T100;Hobro Mejericenter;DKH141;DKH141;12083607;21919;2;Min Købmand Bjerregrav;9632;Møldrup;00:01;05:30;02:41;05:00;3.31;22.94;
;;09-11;929926;1;PlanningComplete;Delivery;0;T100;Hobro Mejericenter;DKH120;DKH120;12083578;14571;3;Spar Hald;7840;Højslev;00:01;03:45;02:44;03:15;2.54;37.50;
;;09-11;929739;1;PlanningComplete;Delivery;0;T100;Hobro Mejericenter;DKH130;DKH130;12083574;14390;1;Rema 1000 Kjellerup;8620;Kjellerup;00:00;05:30;02:50;05:00;3.42;54.23;
;;09-11;929794;1;PlanningComplete;Delivery;0;T100;Hobro Mejericenter;DKH110;DKH110;12083562;2104;2;Superbrugsen Ans;8643;Ans By;00:01;03:50;02:50;03:20;1.00;65.33;
;;09-11;929697;1;PlanningComplete;Delivery;0;T100;Hobro Mejericenter;DKH010;DKH010;12083569;24439;18;Østerild Skole;7700;Thisted;00:00;12:00;02:50;23:00;0.52;91.83;
;;09-11;929754;1;PlanningComplete;Delivery;0;T100;Hobro Mejericenter;DKH020;DKH020;12083595;14462;2;Rema 1000 Ålestrup;9620;Ålestrup;00:00;04:00;02:50;03:30;2.84;23.15;
;;09-11;929776;2;PlanningComplete;Delivery;1;T100;Hobro Mejericenter;DKH363;DKH363;12083615;14847;3;Hørkram Foodservice A/S;8362;Hørning;00:00;04:30;02:53;04:00;24.68;72.02;
;;09-11;929927;1;PlanningComplete;Delivery;1;T100;Hobro Mejericenter;DKH120;DKH111;12083582;16671;5;Rema 1000 Skive;7800;Skive;00:01;04:15;02:55;03:45;2.78;51.22;
;;09-11;929795;1;PlanningComplete;Delivery;0;T100;Hobro Mejericenter;DKH110;DKH110;12083562;15180;3;Spar Ans A/S;8643;Ans By;00:01;03:55;03:01;03:25;1.52;65.49;
;;09-11;929698;1;PlanningComplete;Delivery;0;T100;Hobro Mejericenter;DKH010;DKH010;12083569;24430;19;Hillerslev Skole;7700;Thisted;00:00;12:00;03:01;23:00;0.52;99.47;
;;09-11;929900;1;PlanningComplete;Delivery;0;T100;Hobro Mejericenter;DKH140;DKH140;12083576;14426;1;Rema 1000 Vadum;9430;Vadum;00:01;03:35;03:02;03:05;2.42;64.45;
;;09-11;929990;1;PlanningComplete;Delivery;0;T100;Hobro Mejericenter;DKH030;DKH030;12083585;26058;1;S-Engros Århus;8220;Brabrand;00:01;05:30;03:02;05:00;2.00;67.20;
;;09-11;929874;1;PlanningComplete;Delivery;0;T100;Hobro Mejericenter;DKH130;DKH130;12083574;27380;2;Fakta Kjellerup;8620;Kjellerup;00:01;05:45;03:05;05:15;1.00;54.23;
;;09-11;930095;1;PlanningComplete;Delivery;0;T100;Hobro Mejericenter;DKH020;DKH020;12083595;11855;3;Fakta Ålestrup;9620;Ålestrup;00:01;04:15;03:06;03:45;1.00;22.73;
;;09-11;930263;1;PlanningComplete;Delivery;0;T100;Hobro Mejericenter;DKH120;DKH120;12083578;13467;4;Min Købmand  Nr. Søby;7840;Højslev;03:00;04:00;03:07;03:30;4.20;47.11;
;;09-11;930150;1;PlanningComplete;Delivery;0;T100;Hobro Mejericenter;DKH090;DKH501;12083610;72384;1;Spar Haverslev;9610;Nørager;00:01;04:30;03:07;04:00;5.85;21.15;
;;09-11;929699;1;PlanningComplete;Delivery;0;T100;Hobro Mejericenter;DKH010;DKH010;12083569;24431;20;Nors Skole;7700;Thisted;00:00;12:00;03:09;23:00;0.52;103.66;
;;09-11;929674;2;PlanningComplete;Delivery;0;T100;Hobro Mejericenter;DKH900;DKH900;12083620;790;2;Aldi Kolding K.S.;6000;Kolding;01:30;02:15;03:10;01:45;5.62;160.22;
;;09-11;930085;1;PlanningComplete;Delivery;0;T100;Hobro Mejericenter;DKH060;DKH060;12083594;26843;1;Dagli' Brugsen Klejtrup;9500;Hobro;00:01;05:30;03:12;05:00;1.94;12.15;
;;09-11;929875;1;PlanningComplete;Delivery;0;T100;Hobro Mejericenter;DKH130;DKH130;12083574;2465;3;Superbrugsen Kjellerup;8620;Kjellerup;00:01;06:00;03:15;05:30;2.52;54.20;
;;09-11;930004;1;PlanningComplete;Delivery;0;T100;Hobro Mejericenter;DKH070;DKH070;12083586;27116;1;MENY Hjørring;9800;Hjørring;00:01;06:30;03:16;06:00;14.18;106.74;
;;09-11;930197;1;PlanningComplete;Delivery;0;T100;Hobro Mejericenter;DKH040;DKH040;12083608;14907;3;Fakta Vester Hassing;9310;Vodskov;00:01;04:35;03:17;04:05;1.00;71.81;
;;09-11;930246;1;PlanningComplete;Delivery;0;T100;Hobro Mejericenter;DKH083;DKH082;12083560;52182;1;MENY Fabrikvej;8800;Viborg;00:01;06:30;03:18;06:00;2.00;37.12;
;;09-11;930152;1;PlanningComplete;Delivery;0;T100;Hobro Mejericenter;DKH090;DKH090;12083603;22427;4;Dagli' Brugsen Suldrup;9541;Suldrup;00:01;04:50;03:19;04:20;1.00;28.32;
;;09-11;930073;1;PlanningComplete;Delivery;0;T100;Hobro Mejericenter;DKH151;DKH151;12083593;25995;1;SPAR NØRAGER;9610;Nørager;00:01;05:30;03:20;05:00;8.39;15.01;
;;09-11;930264;1;PlanningComplete;Delivery;0;T100;Hobro Mejericenter;DKH080;DKH080;12083589;13380;2;Min Købmand Nr.Nissum;7620;Lemvig;03:00;05:30;03:21;05:00;4.08;109.63;
;;09-11;929865;1;PlanningComplete;Delivery;0;T100;Hobro Mejericenter;DKH021;DKH021;12083573;22455;1;Kiwi Randers 160;8920;Randers Nv;00:01;05:30;03:24;05:00;1.52;26.47;
;;09-11;929980;1;PlanningComplete;Delivery;0;T100;Hobro Mejericenter;DKH131;DKH100;12083583;15553;3;Rema 1000 Sæby;9300;Sæby;00:01;06:25;03:24;05:55;3.36;105.78;
;;09-11;929700;1;PlanningComplete;Delivery;0;T100;Hobro Mejericenter;DKH010;DKH010;12083569;24436;21;Klitmøller Friskole;7700;Thisted;00:00;12:00;03:27;23:00;0.52;118.43;
;;09-11;930198;1;PlanningComplete;Delivery;0;T100;Hobro Mejericenter;DKH040;DKH040;12083608;26830;4;Superbrugsen Vester Hassing;9310;Vodskov;00:01;04:45;03:27;04:15;1.00;71.87;
;;09-11;929796;1;PlanningComplete;Delivery;0;T100;Hobro Mejericenter;DKH110;DKH110;12083562;26209;4;Spar Gjern;8883;Gjern;00:01;04:35;03:27;04:05;11.12;66.54;
;;09-11;929735;1;PlanningComplete;Delivery;0;T100;Hobro Mejericenter;DKH152;DKH152;12083571;7490;1;Dagli' Brugsen Vesterø Havn;9940;Læsø;00:00;10:00;03:28;09:30;0.52;117.26;
;;09-11;929903;1;PlanningComplete;Delivery;0;T100;Hobro Mejericenter;DKH140;DKH140;12083576;80520;4;Åbybro Mejeri;9440;Åbybro;00:01;03:55;03:28;03:25;0.52;74.64;
;;09-11;929915;1;PlanningComplete;Delivery;0;T100;Hobro Mejericenter;DKH121;DKH121;12083577;60105;1;Netto Hjallerup;9320;Hjallerup;00:01;04:55;03:28;04:25;1.52;75.78;
;;09-11;929842;1;PlanningComplete;Delivery;0;T100;Hobro Mejericenter;DKH091;DKH091;12083568;21673;1;Rema 1000 Brabrand;8220;Brabrand;00:01;05:00;03:29;04:30;3.36;71.43;
;;09-11;929991;1;PlanningComplete;Delivery;0;T100;Hobro Mejericenter;DKH030;DKH030;12083585;2011;2;Kvickly Åbyhøj;8230;Åbyhøj;00:01;07:30;03:30;07:00;3.00;68.25;
;;09-11;929928;1;PlanningComplete;Delivery;0;T100;Hobro Mejericenter;DKH120;DKH120;12083578;25989;6;Fakta Egeris, Skive;7800;Skive;00:01;04:20;03:32;03:50;1.00;51.40;
;;09-11;929750;1;PlanningComplete;Delivery;0;T100;Hobro Mejericenter;DKH061;DKH061;12083592;27045;3;MENY Aalborg SV;9200;Aalborg;00:00;04:30;03:32;04:00;3.42;50.27;
;;09-11;930044;1;PlanningComplete;Delivery;1;T100;Hobro Mejericenter;DKH050;DKH050;12083590;26516;1;S-Engros Thisted;7700;Thisted;00:01;04:30;03:35;04:00;0.52;103.53;
;;09-11;929736;1;PlanningComplete;Delivery;0;T100;Hobro Mejericenter;DKH152;DKH152;12083571;50489;2;Superbrugsen Byrum;9940;Læsø;00:00;10:40;03:36;10:10;1.00;117.26;
;;09-11;929958;1;PlanningComplete;Delivery;0;T100;Hobro Mejericenter;DKH111;DKH111;12083582;13501;1;Min Købmand Harre;7870;Roslev;00:01;04:30;03:37;04:00;1.00;62.44;
;;09-11;929916;1;PlanningComplete;Delivery;0;T100;Hobro Mejericenter;DKH121;DKH121;12083577;27021;2;MENY Hjallerup Butikscenter;9320;Hjallerup;00:01;08:00;03:38;07:30;4.47;75.78;
;;09-11;930034;1;PlanningComplete;Delivery;0;T100;Hobro Mejericenter;DKH080;DKH080;12083589;21307;3;Min Købmand Fabjerg;7620;Lemvig;00:01;04:50;03:38;04:20;1.39;109.81;
;;09-11;929843;1;PlanningComplete;Delivery;0;T100;Hobro Mejericenter;DKH091;DKH091;12083568;13109;2;Fakta Åbyhøj;8230;Åbyhøj;00:01;05:00;03:41;04:30;2.04;69.85;
;;09-11;929755;1;PlanningComplete;Delivery;1;T100;Hobro Mejericenter;DKH020;DKH020;12083595;14463;5;Rema 1000 Farsø - 712;9640;Farsø;00:00;10:30;03:41;10:00;2.68;36.51;
;;09-11;929666;1;PlanningComplete;Delivery;0;T100;Hobro Mejericenter;DKH130;DKH130;12083574;27553;4;Spar Thorning;8320;Thorning;03:15;03:45;03:43;03:15;4.60;58.79;
;;09-11;930012;1;PlanningComplete;Delivery;0;T100;Hobro Mejericenter;DKH051;DKH051;12083587;25794;1;Spar;7850;Stoholm;00:01;05:00;03:43;04:30;2.52;56.64;
;;09-11;930199;1;PlanningComplete;Delivery;0;T100;Hobro Mejericenter;DKH040;DKH040;12083608;12716;5;Spar Gandrup;9362;Gandrup;00:01;05:00;03:44;04:30;3.83;75.26;
;;09-11;929866;1;PlanningComplete;Delivery;0;T100;Hobro Mejericenter;DKH021;DKH021;12083573;73751;2;MENY Randers C;8900;Randers;00:01;05:30;03:45;05:00;2.00;27.82;
;;09-11;929929;1;PlanningComplete;Delivery;0;T100;Hobro Mejericenter;DKH120;DKH120;12083578;27343;7;Fakta Dalgas Torv Skive;7800;Skive;00:01;04:30;03:45;04:00;1.00;52.36;
;;09-11;929904;1;PlanningComplete;Delivery;0;T100;Hobro Mejericenter;DKH140;DKH140;12083576;7491;5;Superbrugsen Pandrup;9490;Pandrup;00:01;05:15;03:47;04:45;1.00;81.86;
;;09-11;930153;1;PlanningComplete;Delivery;0;T100;Hobro Mejericenter;DKH090;DKH090;12083603;21515;5;Kiwi Nibe 131;9240;Nibe;00:01;06:30;03:48;06:00;7.39;49.67;
;;09-11;930228;1;PlanningComplete;Delivery;0;T100;Hobro Mejericenter;DKH042;DKH042;12083616;26791;1;Dagli' Brugsen Øster Hornum;9530;Støvring;00:01;05:20;03:49;04:50;1.52;40.51;
;;09-11;930280;1;PlanningComplete;Delivery;0;T100;Hobro Mejericenter;DKH132;DKH132;12083617;5202;2;Føtex Mariagervej Randers;8920;Randers Nv;04:00;05:15;03:49;04:45;7.94;27.44;
;;09-11;930178;1;PlanningComplete;Delivery;0;T100;Hobro Mejericenter;DKH122;DKH122;12083606;23074;2;Fakta Randers;8920;Randers Nv;00:01;06:00;03:51;05:30;1.00;27.10;
;;09-11;929917;1;PlanningComplete;Delivery;0;T100;Hobro Mejericenter;DKH121;DKH121;12083577;26719;3;Fakta Hjallerup;9320;Hjalleurp;00:01;05:15;03:51;04:45;1.52;75.83;
;;09-11;930111;1;PlanningComplete;Delivery;0;T100;Hobro Mejericenter;DKH031;DKH031;12083596;2556;1;Dagli' Brugsen Mørke-Ommestrup;8544;Mørke;00:01;05:30;03:52;05:00;1.52;57.79;
;;09-11;930275;1;PlanningComplete;Delivery;1;T100;Hobro Mejericenter;DKH050;DKH050;12083590;21689;2;Føtex Thisted;7700;Thisted;04:00;04:30;03:52;04:00;3.00;104.63;
;;09-11;930064;1;PlanningComplete;Delivery;1;T100;Hobro Mejericenter;DKH061;DKH061;12083592;24647;1;Skolemælk BKS Nord 1;9400;Nørressundby;03:00;18:30;03:55;12:00;13.52;59.15;
;;09-11;929959;1;PlanningComplete;Delivery;0;T100;Hobro Mejericenter;DKH111;DKH111;12083582;5139;2;Superbrugsen Glyngøre;7870;Roslev;00:01;05:00;03:55;04:30;1.52;75.76;
;;09-11;929685;1;PlanningComplete;Delivery;1;T100;Hobro Mejericenter;DKH041;DKH041;12083564;14464;1;Rema 1000 Brønderslev;9700;Brønderslev;00:00;04:30;03:56;04:00;2.26;85.43;
;;09-11;929821;1;PlanningComplete;Delivery;1;T100;Hobro Mejericenter;DKH101;DKH101;12083566;50416;2;Dagli' Brugsen Mårup;8361;Hasselager;00:01;04:30;03:56;04:00;0.52;73.81;
;;09-11;930035;1;PlanningComplete;Delivery;0;T100;Hobro Mejericenter;DKH080;DKH080;12083589;14815;4;Fakta Lemvig;7620;Lemvig;00:01;05:00;03:57;04:30;1.00;115.44;
;;09-11;929905;1;PlanningComplete;Delivery;0;T100;Hobro Mejericenter;DKH140;DKH140;12083576;22523;6;Fakta Pandrup;9490;Pandrup;00:01;05:15;03:57;04:45;1.52;82.02;
;;09-11;930052;1;PlanningComplete;Delivery;0;T100;Hobro Mejericenter;DKH071;DKH071;12083591;52735;1;Spar Haderup;7540;Haderup;00:01;06:00;03:58;05:30;4.64;65.84;
;;09-11;929970;1;PlanningComplete;Delivery;0;T100;Hobro Mejericenter;DKH100;DKH100;12083583;83363;2;S-Engros Fr.Havn;9900;Frederikshavn;00:01;05:15;03:59;04:45;1.04;120.86;
;;09-11;930097;1;PlanningComplete;Delivery;0;T100;Hobro Mejericenter;DKH020;DKH020;12083595;27309;6;Fakta Farsø;9640;Farsø;00:01;05:00;04:00;04:30;1.00;36.51;
;;09-11;930274;1;PlanningComplete;Delivery;0;T100;Hobro Mejericenter;DKH092;DKH092;12083588;52198;1;Min Købmand Sevel;7830;Vinderup;04:00;06:30;04:03;06:00;4.08;73.73;
;;09-11;930112;1;PlanningComplete;Delivery;1;T100;Hobro Mejericenter;DKH031;DKH031;12083596;23109;2;Min Købmand Mørke;8544;Ebeltoft;00:01;05:00;04:03;04:30;2.04;57.88;
;;09-11;929930;1;PlanningComplete;Delivery;1;T100;Hobro Mejericenter;DKH120;DKH120;12083578;5713;8;Kvickly Skive;7800;Skive;00:01;05:00;04:05;04:30;2.00;50.52;
;;09-11;930036;1;PlanningComplete;Delivery;0;T100;Hobro Mejericenter;DKH080;DKH080;12083589;13288;5;Netto Lemvig;7620;Lemvig;00:01;05:00;04:05;04:30;2.00;115.59;
;;09-11;929749;1;PlanningComplete;Delivery;0;T100;Hobro Mejericenter;DKH061;DKH061;12083592;24648;2;SkoleMælk BKS Nord 2;9400;Nørresundby;00:00;12:30;04:06;12:00;13.48;59.15;
;;09-11;929822;1;PlanningComplete;Delivery;0;T100;Hobro Mejericenter;DKH101;DKH101;12083566;2771;3;Superbrugsen Samsø;8361;Hasselager;00:01;06:00;04:06;05:30;1.52;73.81;
;;09-11;929688;1;PlanningComplete;Delivery;0;T100;Hobro Mejericenter;DKH101;DKH101;12083566;25597;4;Netto Samsø;8361;Hasselager;00:00;04:50;04:06;04:20;2.04;73.81;
;;09-11;929826;1;PlanningComplete;Delivery;0;T100;Hobro Mejericenter;DKH101;DKH101;12083566;27470;9;Kantinen Fvc Hasselager;8361;Hasselager;00:01;04:40;04:06;04:10;0.52;73.81;
;;09-11;929844;1;PlanningComplete;Delivery;0;T100;Hobro Mejericenter;DKH091;DKH091;12083568;21387;3;MENYÅrhus C;8000;Aarhus C;00:01;05:30;04:07;05:00;4.42;69.25;
;;09-11;929797;1;PlanningComplete;Delivery;0;T100;Hobro Mejericenter;DKH110;DKH110;12083562;23571;5;MENY Thorsø;8881;Thorsø;00:01;06:30;04:08;06:00;3.42;54.54;
;;09-11;929888;1;PlanningComplete;Delivery;0;T100;Hobro Mejericenter;DKH112;DKH112;12083575;21045;1;Fakta Hadsten;8370;Hadsten;00:01;05:00;04:09;04:30;1.52;45.25;
;;09-11;929906;1;PlanningComplete;Delivery;0;T100;Hobro Mejericenter;DKH140;DKH140;12083576;21521;7;Kiwi Pandrup 126;9490;Pandrup;00:01;05:20;04:09;04:50;6.91;81.80;
;;09-11;930180;1;PlanningComplete;Delivery;0;T100;Hobro Mejericenter;DKH122;DKH122;12083606;21468;4;Fakta Randers;8930;Randers Nø;00:01;09:30;04:11;09:00;2.00;28.55;
;;09-11;930045;1;PlanningComplete;Delivery;0;T100;Hobro Mejericenter;DKH050;DKH050;12083590;21975;3;Spar Sjørring;7700;Thisted;00:01;06:55;04:11;06:25;5.09;111.55;
;;09-11;930201;1;PlanningComplete;Delivery;0;T100;Hobro Mejericenter;DKH040;DKH040;12083608;7091;7;Superbrugsen Hals;9370;Hals;00:01;05:40;04:12;05:10;0.52;77.61;
;;09-11;930065;1;PlanningComplete;Delivery;0;T100;Hobro Mejericenter;DKH061;DKH061;12083592;23374;4;Rema 1000 Aalborg Øst Butik 893;9220;Aalborg;00:01;05:30;04:12;05:00;3.26;57.10;
;;09-11;929742;1;PlanningComplete;Delivery;0;T100;Hobro Mejericenter;DKH120;DKH120;12083578;27368;9;Fakta Asylgade Skive;7800;Skive;00:00;12:30;04:14;12:00;1.91;50.43;
;;09-11;930209;1;PlanningComplete;Delivery;0;T100;Hobro Mejericenter;DKH014;DKH014;12083609;24461;1;Ørslevkloster Skole;7840;Højslev;00:01;12:30;04:14;12:00;0.52;35.99;
;;09-11;930191;1;PlanningComplete;Delivery;0;T100;Hobro Mejericenter;DKH141;DKH141;12083607;25523;4;Fakta Houlkær;8800;Viborg;00:01;06:30;04:15;06:00;1.52;35.63;
;;09-11;929827;1;PlanningComplete;Delivery;0;T100;Hobro Mejericenter;DKH101;DKH101;12083566;2773;11;Kvickly Tranbjerg;8310;Tranbjerg J;00:01;06:30;04:15;06:00;2.46;79.34;
;;09-11;930098;1;PlanningComplete;Delivery;0;T100;Hobro Mejericenter;DKH020;DKH020;12083595;50488;7;Superbrugsen Farsø;9640;Farsø;00:01;05:10;04:15;04:40;1.00;36.57;
;;09-11;930037;1;PlanningComplete;Delivery;0;T100;Hobro Mejericenter;DKH080;DKH080;12083589;5279;6;Kvickly Lemvig;7620;Lemvig;00:01;05:10;04:16;04:40;2.42;115.64;
;;09-11;930267;1;PlanningComplete;Delivery;0;T100;Hobro Mejericenter;DKH041;DKH041;12083564;22513;3;Føtex Brønderslev;9700;Brønderslev;04:00;06:00;04:16;05:30;4.78;83.43;
;;09-11;930005;1;PlanningComplete;Delivery;0;T100;Hobro Mejericenter;DKH070;DKH070;12083586;12625;2;Spar Lønstrup;9800;Hjørring;00:01;05:20;04:17;04:50;3.45;121.15;
;;09-11;929780;1;PlanningComplete;Delivery;0;T100;Hobro Mejericenter;DKH082;DKH082;12083560;21701;1;Netto Engholm Søpark;7400;Herning;00:01;05:30;04:18;05:00;1.00;82.97;
;;09-11;929845;1;PlanningComplete;Delivery;0;T100;Hobro Mejericenter;DKH091;DKH091;12083568;27336;4;Fakta Langenæs;8000;Aarhus C;00:01;06:20;04:18;05:50;2.94;69.25;
;;09-11;930281;1;PlanningComplete;Delivery;0;T100;Hobro Mejericenter;DKH100;DKH100;12083583;3266;5;Føtex Frederikshavn;9900;Frederikshavn;04:15;05:50;04:19;05:20;2.06;117.38;
;;09-11;930202;1;PlanningComplete;Delivery;0;T100;Hobro Mejericenter;DKH040;DKH040;12083608;80586;8;MENY Hals;9370;Hals;00:01;06:30;04:20;06:00;2.77;77.20;
;;09-11;929889;1;PlanningComplete;Delivery;0;T100;Hobro Mejericenter;DKH112;DKH112;12083575;14855;2;MENY Hadsten;8370;Hadsten;00:01;05:15;04:22;04:45;2.00;45.28;
;;09-11;929993;1;PlanningComplete;Delivery;0;T100;Hobro Mejericenter;DKH030;DKH030;12083585;2716;4;Superbrugsen Stilling;8660;Skanderborg;00:01;05:15;04:22;04:45;2.00;80.12;
;;09-11;929960;1;PlanningComplete;Delivery;0;T100;Hobro Mejericenter;DKH111;DKH111;12083582;73968;3;Spar Erslev;7950;Erslev;00:01;05:20;04:22;04:50;6.08;86.50;
;;09-11;929978;1;PlanningComplete;Delivery;0;T100;Hobro Mejericenter;DKH131;DKH131;12083584;50486;1;Dagli' Brugsen Dybvad;9352;Dybvad;00:01;05:25;04:22;04:55;0.94;96.05;
;;09-11;929752;1;PlanningComplete;Delivery;0;T100;Hobro Mejericenter;DKH060;DKH060;12083594;27659;3;Superbrugsen Øster Bordingvej;8600;Silkeborg;00:00;09:30;04:23;09:00;1.52;68.10;
;;09-11;930181;1;PlanningComplete;Delivery;0;T100;Hobro Mejericenter;DKH122;DKH122;12083606;27375;5;Fakta Randers Hadsundvej;8930;Randers Nø;00:01;08:15;04:23;07:45;1.00;28.87;
